United States COVID-19 Cases and Deaths by State,,,,,,,,
Date generated: Thu Sep 24 2020 15:05:18 GMT-0400 (Eastern Daylight Time),,,,,,,,
,kips,State/Territory,Total Cases,Total Deaths,Death Rate per 100000,Cases in Last 7 Days,Deaths in Last 7 Days,Case Rate per 100000
AK,7004,Alaska,7004,45,6,560,1,950
AL,147153,Alabama,147153,2488,50,6066,96,3011
AR,77963,Arkansas,77963,1229,40,5744,72,2587
AS,0,American Samoa,0,0,0,0,0,0
AZ,215284,Arizona,215284,5525,77,5377,154,3002
CA,787470,California,787470,15204,38,24507,589,1991
CO,66669,Colorado,66669,2030,35,3983,28,1170
CT,56315,Connecticut,56315,4497,125,1149,10,1576
DC,15050,District of Columbia,15050,621,88,307,4,2142
DE,19947,Delaware,19947,630,65,713,11,2062
FL,682370,Florida,682370,13618,63,19136,679,3204
FSM,0,Federated States of Micronesia,0,0,0,0,0,0
GA,309678,Georgia,309678,6773,64,10622,354,2944
GU,2263,Guam,2263,38,22,218,8,1365
HI,11848,Hawaii,11848,122,8,768,23,834
IA,82357,Iowa,82357,1294,41,5678,46,2609
ID,38743,Idaho,38743,454,25,2650,34,2209
IL,281312,Illinois,281312,8744,68,13066,145,2208
IN,113337,Indiana,113337,3530,52,5528,58,1694
KS,55226,Kansas,55226,621,21,4356,35,1897
KY,63517,Kentucky,63517,1124,25,4753,42,1422
LA,163869,Louisiana,163869,5407,116,4004,113,3516
MA,136304,Massachusetts,136304,9343,135,2688,99,1975
MD,121800,Maryland,121800,3909,64,3281,48,2016
ME,5215,Maine,5215,140,10,253,2,390
MI,131259,Michigan,131259,7013,70,5517,71,1314
MN,92100,Minnesota,92100,2037,36,6287,52,1641
MO,116946,Missouri,116946,1947,31,10359,208,1909
MP,69,Northern Mariana Islands,69,2,3,7,0,0
MS,95310,Mississippi,95310,2874,96,3375,94,3191
MT,11220,Montana,11220,165,15,1789,24,1056
NC,196501,North Carolina,196501,3316,31,8477,167,1892
ND,19451,North Dakota,19451,211,27,3118,27,2559
NE,42278,Nebraska,42278,462,23,2859,23,2191
NH,8007,New Hampshire,8007,438,32,227,0,590
NJ,200988,New Jersey,200988,16082,180,3196,28,2256
NM,27987,New Mexico,27987,857,40,946,25,1336
NV,76982,Nevada,76982,1602,52,2540,80,2537
NY,210805,New York,210805,9017,80,3064,11,1892
NYC,242255,New York City,242255,23785,283,2414,24,2884
OH,146753,Ohio,146753,4687,40,6235,132,1255
OK,88395,Oklahoma,88395,983,24,9126,59,2242
OR,31503,Oregon,31503,538,12,1653,17,752
PA,152544,Pennsylvania,152544,8062,62,5554,159,1191
PR,43842,Puerto Rico,43842,627,19,4975,39,1372
PW,0,Palau,0,0,0,0,0,0
RI,24177,Rhode Island,24177,1102,104,819,21,2287
RMI,0,Republic of Marshall Islands,0,0,0,0,0,0
SC,141686,South Carolina,141686,3262,64,7564,130,2787
SD,19634,South Dakota,19634,202,22,2343,10,2226
TN,186709,Tennessee,186709,2275,33,9622,124,2758
TX,719599,Texas,719599,15129,52,44827,651,2507
UT,66497,Utah,66497,442,13,5728,6,2104
VA,143492,Virginia,143492,3113,36,6032,193,1685
VI,1290,Virgin Islands,1290,19,18,52,0,1232
VT,1722,Vermont,1722,58,9,20,0,275
WA,83702,Washington,83702,2081,27,2890,61,1111
WI,112222,Wisconsin,112222,1268,21,13782,31,1930
WV,14504,West Virginia,14504,319,17,1308,29,803
WY,5169,Wyoming,5169,50,8,603,4,895
US,6916292,United States of America,6916292,201411,61,302715,5151,2090
